id	NY AGI of All Returns	Taxable Income of All Returns
20294	44486.95	14064.25
20295	60516.11	32971.15
20296	66975.40	43860.21
20297	60132.74	42948.76
20298	60293.20	45127.95
20299	87294.40	67932.31
20300	105266.24	85702.44
20301	142555.05	121668.65
20302	13335.28	12014.45
20303	23271.02	21731.97
20304	41688.84	40828.99
20305	714101.62	530822.75
20306	872.53	235.27
20307	16509.30	2116.62
20308	55181.58	17911.56
20309	87009.39	47978.60
20310	90364.40	59931.20
20311	76337.06	54700.32
20312	71645.59	53664.95
20313	102142.22	79229.72
20314	130737.34	105677.76
20315	186458.31	159043.67
20316	16853.54	15158.74
20317	28232.52	25803.40
20318	34301.42	33234.56
20319	896645.19	654686.38
20320	-7303.70	392.02
20321	18315.85	3235.90
20322	59322.44	21601.58
20323	84196.47	48009.63
20324	94342.96	63491.47
20325	97675.83	70718.18
20326	88024.83	66021.42
20327	131306.20	101668.79
20328	184403.34	149035.12
20329	256571.44	218426.52
20330	24752.63	22186.80
20331	37939.59	35328.69
20332	56500.83	54921.88
20333	1126048.75	855038.00
20334	-3423.44	247.11
20335	14615.06	1931.42
20336	47046.07	15589.34
20337	60566.22	33023.15
20338	62276.28	41035.54
20339	68576.95	49503.40
20340	67832.85	51204.82
20341	92604.67	71859.51
20342	134801.39	109567.55
20343	226778.05	192946.59
20344	23735.23	21288.20
20345	43452.04	39731.79
20346	102820.91	100952.05
20347	941682.25	728880.44
20348	-2598.63	38.82
20349	1913.58	267.31
20350	6000.66	1617.52
20351	7143.65	3704.74
20352	8926.91	5653.71
20353	8755.05	6196.18
20354	6506.78	4673.20
20355	10159.21	7727.52
20356	13255.56	10602.89
20357	17208.51	14517.58
20359	5621.01	5277.22
20361	87800.68	64461.34
20362	-3337.01	320.63
20363	17722.77	2468.54
20364	62077.64	20603.93
20365	92441.08	51110.16
20366	99061.62	65834.54
20367	91656.37	65676.39
20368	89991.62	67173.02
20369	129147.97	99363.04
20370	157088.39	126696.95
20371	210369.84	179332.59
20372	18290.19	16506.89
20373	30034.73	27673.06
20374	61987.61	61232.10
20375	1056532.75	783991.81
20376	-14935.33	554.04
20377	29941.32	4316.66
20378	104745.14	35381.43
20379	137649.69	74057.22
20380	140091.06	90066.05
20381	131677.47	92617.37
20382	122663.60	91336.04
20383	174786.30	135255.56
20384	234584.16	189681.30
20385	348615.09	297828.03
20386	42301.12	38238.08
20387	70121.95	65062.89
20388	109276.04	106769.86
20389	1631517.62	1221164.50
20390	-7117.84	155.88
20391	7221.87	958.20
20392	24268.42	7721.93
20393	34828.14	18288.19
20394	40826.29	26160.68
20395	41376.29	28853.98
20396	40158.71	29479.31
20397	53144.46	40831.24
20398	73360.60	58965.29
20399	83946.49	71688.50
20401	15076.86	14175.62
20403	424502.03	313555.44
20404	-6478.21	428.61
20405	17007.19	2859.51
20406	56167.06	19770.17
20407	76558.34	42707.91
20408	94481.96	62825.48
20409	96133.58	69585.68
20410	85356.78	63929.03
20411	128522.60	99141.32
20412	192004.03	154524.58
20413	306054.25	260622.31
20414	35849.83	32142.04
20415	46722.88	43549.67
20416	36211.39	35130.04
20417	1164591.62	887216.38
20418	-15163.29	476.39
20419	20285.47	3407.91
20420	64826.26	22915.53
20421	91120.62	50421.28
20422	100561.10	66449.49
20423	98423.97	70178.43
20424	94900.45	70747.28
20425	136317.48	105003.87
20426	191580.03	154417.36
20427	350886.22	298928.03
20428	48141.98	43096.34
20429	95103.46	87699.48
20430	145156.80	142551.05
20431	1422140.50	1116292.50
20432	-87826.89	5260.38
20433	228221.23	37823.78
20434	754483.75	268586.12
20435	1068921.50	609198.75
20436	1132461.62	763417.12
20437	1082158.25	786372.81
20438	1054479.12	799714.62
20439	1479373.38	1151057.75
20441	2230297.00	1793934.25
20443	767861.50	683251.44
20444	1539949.12	1417485.12
20445	2156142.50	2095990.75
20447	-2977.38	227.41
20448	15936.30	1958.96
20449	52668.94	17090.34
20450	75699.86	41784.30
20451	83452.26	55000.38
20452	75204.01	54348.03
20453	69538.35	52141.51
20454	96242.89	74786.62
20455	125735.49	101729.16
20456	173616.30	148486.62
20457	16262.01	14617.42
20458	23426.50	21692.99
20459	73989.29	73140.48
20460	878794.81	657004.19
20461	-2025753.00	9941.61
20462	371358.34	72190.86
20463	1129640.25	390901.12
20464	1468710.62	759209.19
20465	1751895.62	1088536.25
20466	1871181.75	1273648.62
20467	1930102.38	1381499.38
20468	2888307.25	2131318.50
20475	-5919.03	1318.23
20476	71912.23	12685.04
20477	232436.66	84659.15
20478	302509.88	173412.75
20479	340701.41	230382.95
20480	317283.31	229411.20
20481	300200.62	226960.94
20482	429952.09	334367.81
20483	646539.44	524563.06
20484	1060386.25	904651.69
20485	110527.68	98578.38
20486	155755.02	143745.23
20487	252139.44	247791.22
20489	-188.90	1279.07
20490	72017.12	10264.42
20491	235528.50	79832.99
20492	337077.38	186555.14
20493	344959.97	229069.23
20494	313930.12	227287.31
20495	297481.75	224523.30
20496	414292.19	323402.28
20497	583362.75	472560.00
20498	962599.06	822401.12
20499	127432.52	113981.90
20500	221422.95	204920.34
20501	280894.16	272159.84
20503	-45844.79	3119.42
20504	138874.88	21557.66
20505	448908.53	157133.34
20506	633592.56	358435.62
20507	700876.56	471338.22
20508	658689.62	479692.03
20509	655025.06	497240.94
20510	927196.06	724444.00
