id	NY AGI of All Returns	Taxable Income of All Returns	Cluster
18860	6428.00	5792.00	5
18861	125388.00	85766.00	5
18862	17087.00	16825.00	5
18863	607012.00	476085.00	1
18864	21201.00	15771.00	5
18865	1630.00	519.00	5
18866	2503.00	775.00	5
18867	571402.00	484880.00	1
18868	195624.00	163919.00	1
18869	754735.56	676333.62	4
18870	1266700.00	433382.00	4
18871	1145950.00	952114.00	4
18872	6378.00	327.00	5
18874	150182.00	146923.00	5
18875	22108.00	16435.00	5
18876	8619.00	494.00	5
18877	27993.00	20052.00	5
18878	20894.00	18657.00	5
18879	1841.55	577.97	5
18880	12323.00	8805.00	5
18881	9063.00	4909.00	5
18882	3517.75	824.84	5
18883	1850799.00	1385097.00	2
18884	15967.00	15222.00	5
18885	1020466.00	737853.00	4
18886	787829.00	605349.00	4
18887	115477.00	76964.00	5
18888	2520023.00	1890322.00	2
18889	13575.00	7370.00	5
18890	2871.63	1550.20	5
18891	94.00	16.00	5
18892	2354.00	1713.00	5
18893	66574.00	53365.00	5
18894	149202.00	123402.00	5
18895	432656.00	418043.00	1
18896	9572.11	6422.29	5
18897	2570928.00	1958467.00	2
18898	1563049.00	1134146.00	2
18899	2038343.00	1116678.00	2
18900	634843.00	362955.00	1
18901	132829.00	128069.00	5
18902	5756.00	3530.00	5
18903	247976.00	89665.00	1
18904	107056.00	76643.00	5
18905	1865785.12	1663402.88	2
18906	156143.00	122528.00	5
18907	7294.00	4439.00	5
18908	312357.00	263583.00	1
18909	852882.00	719219.00	4
18910	45348.00	28935.00	5
18911	13717.00	736.00	5
18912	403429.00	283649.00	1
18913	75762.00	49906.00	5
18914	1433.68	753.22	5
18915	3394.00	1783.00	5
18916	66310.00	25701.00	5
18917	1134947.00	648885.00	4
18918	180.15	243.16	5
18920	4501.00	2553.00	5
18921	140313.39	104932.60	5
18922	16392.00	11502.00	5
18923	1950.00	961.00	5
18924	399586.00	305038.00	1
18925	246594.00	43870.00	1
18926	25128.00	17086.00	5
18927	610556.00	444962.00	1
18928	9070.00	3865.00	5
18929	505146.00	475395.00	1
18931	5231.52	4042.03	5
18932	24347.00	3700.00	5
18933	20828.00	14673.00	5
18935	2109.00	1186.00	5
18936	244497.00	175981.00	1
18937	1076941.00	785302.00	4
18938	2286967.00	1908420.00	2
18939	3069173.00	2326011.00	3
18940	7123.00	384.00	5
18941	5384.00	3813.00	5
18942	144979.00	102424.00	5
18943	64200.00	50192.00	5
18944	35748.00	34304.00	5
18945	147783.00	47706.00	5
18946	531.00	80.00	5
18947	228562.00	164721.00	1
18948	43576.08	39261.86	5
18949	120081.45	93752.12	5
18951	622.00	183.00	5
18952	17183.00	3981.00	5
18953	8809.00	551.00	5
18954	259322.00	190123.00	1
18955	82414.00	28273.00	5
18956	954680.00	735364.00	4
18957	68702.00	55624.00	5
18958	35696.00	24522.00	5
18959	7288.00	352.00	5
18961	3212759.00	2298627.00	3
18962	112820.00	74644.00	5
18963	683.00	160.00	5
18964	1053201.00	903259.00	4
18965	85242.00	30669.00	5
18966	207701.00	141380.00	1
18968	56812.00	41666.00	5
18969	4841.00	2928.00	5
18970	1271211.00	874838.00	4
18971	303118.00	229446.00	1
18972	88866.00	65825.00	5
18973	188726.00	66713.00	5
18974	330138.00	258944.00	1
18975	173142.00	132673.00	1
18976	22582.00	16497.00	5
18977	58365.00	32831.00	5
18978	52912.00	43359.00	5
18979	2024144.00	1458285.00	2
18980	22253.00	20855.00	5
18981	1798512.00	946549.00	2
18982	57222.00	46862.00	5
18983	14346.00	13547.00	5
18984	889889.00	870480.00	4
18985	36519.00	11716.00	5
18986	173004.00	126215.00	5
18987	19691.36	3231.87	5
18988	221275.00	215343.00	1
18989	264863.00	185638.00	1
18991	3361915.00	2648304.00	3
18992	554334.00	395087.00	1
18993	5545.00	308.00	5
18994	48687.57	36374.86	5
18995	1119896.00	779603.00	4
18996	1423.00	493.00	5
18997	36871.00	26831.00	5
18999	86462.23	64937.32	5
19000	394120.00	221320.00	1
19001	249499.00	204897.00	1
19002	1123.00	407.00	5
19004	-17382.03	505.43	5
19006	431833.00	322832.00	1
19007	5044.00	3563.00	5
19008	263447.00	190978.00	1
19009	3887.00	2600.00	5
19010	42854.00	39543.00	5
19011	17643.00	2126.00	5
19012	12223.00	1569.00	5
19013	57439.00	41126.00	5
19014	54930.00	18334.00	5
19015	8682.00	501.00	5
19016	95440.00	63299.00	5
19018	446.00	73.00	5
19019	409734.00	73909.00	1
19020	592.00	440.00	5
19022	34421.00	27182.00	5
19023	2091.00	982.00	5
19024	207226.30	176719.23	1
19025	313845.00	265025.00	1
19026	144127.00	100482.00	5
19027	1001825.00	570575.00	4
19028	67084.00	46337.00	5
19029	651087.00	445554.00	1
19031	2745060.75	2333014.25	3
19032	1336.00	100.00	5
19033	85210.00	56382.00	5
19034	152595.00	128531.00	5
19035	28006.00	8978.00	5
19036	14087.00	2004.00	5
19037	3530154.00	2352850.00	3
19038	23538.00	17820.00	5
19039	7857.00	5373.00	5
19040	32183.00	23555.00	5
19041	1769259.00	1332706.00	2
19042	110493.00	82351.00	5
19043	186711.00	122298.00	1
19044	113910.00	86118.00	5
19045	139124.00	106444.00	5
19047	158593.00	52598.00	5
19048	11163.00	8748.00	5
19049	203717.88	173527.06	1
19050	18141.00	11012.00	5
19051	8614.00	5732.00	5
19052	17202.00	10735.00	5
19053	216519.00	203491.00	1
19054	2243.62	1252.57	5
19055	110696.00	62706.00	5
19056	244601.00	92111.00	1
19057	63020.71	21922.61	5
19058	35583.00	18645.00	5
19059	4190.00	2919.00	5
19060	89697.00	59204.00	5
19061	3954674.00	2598509.00	3
19062	635995.00	474668.00	1
19063	68354.00	59533.00	5
19064	78905.00	57363.00	5
19065	13876.00	1494.00	5
19066	2102029.00	1615220.00	2
19067	3251033.00	2789197.00	3
19068	13861.00	8569.00	5
19069	381957.00	257766.00	1
19070	116521.00	93255.00	5
19071	47926.00	16340.00	5
19072	61970.00	22211.00	5
19073	621134.00	462631.00	1
19074	5513.00	4387.00	5
19075	45649.09	40780.76	5
19076	1630552.00	509803.00	4
19077	7150.92	4556.26	5
19078	254226.00	205128.00	1
19079	55836.00	48120.00	5
19080	1823797.00	1030584.00	2
19081	692143.00	500816.00	1
19082	222220.00	179880.00	1
19083	352294.00	307468.00	1
19084	144294.00	134115.00	5
19085	177561.00	162128.00	1
19086	436505.00	353489.00	1
19087	2890191.00	2101420.00	3
19088	95244.00	31685.00	5
19089	257963.00	169622.00	1
19090	2210.00	733.00	5
19092	7888.00	4618.00	5
19093	109824.00	78712.00	5
19094	60197.00	57781.00	5
19095	66283.00	49388.00	5
19096	76537.00	53169.00	5
19097	2146710.00	1800634.00	2
19098	159740.00	113273.00	5
19099	348317.00	232842.00	1
19100	1181663.00	818690.00	4
19101	2891.51	1692.71	5
19102	2890.00	1488.00	5
19103	46396.00	40408.00	5
19104	506049.00	25839.00	1
19106	118715.00	88927.00	5
19107	96769.00	74088.00	5
19108	59397.00	57664.00	5
19109	2372827.00	1972982.00	2
19110	98271.00	54616.00	5
19111	830944.00	746562.00	4
19112	898200.00	720466.00	4
19113	7583.00	5346.00	5
19114	6285.00	5461.00	5
19115	35036.00	2301.00	5
19116	36242.00	26218.00	5
19117	26456.00	19728.00	5
19118	54199.00	51665.00	5
19119	22595.00	20894.00	5
19120	77133.00	14241.00	5
19121	50017.00	34325.00	5
19122	80481.00	53402.00	5
19123	1635901.00	1216683.00	2
19124	14080.00	10597.00	5
19126	10475.00	7678.00	5
19127	297549.00	209931.00	1
19128	98741.00	64577.00	5
